,Reaction,EC value,Method,Evaluation,Reaction.1,Reaction formula in CID format,order,order id,Reaction formula in python dictionary,T(K),pH,Ionic strength,pMg,K',electrolytes,Buffer/reagents/solute added,Reference_id,media conditions,exclude,reaction_id
1038,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1039,Keq_1039,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,10.0,0.1,,0.0795,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1039,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1040,Keq_1040,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.096,,8.07e-05,,phosphate,58BAC,mol/L;IS=0.096,no,rxn_41
1040,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1041,Keq_1041,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.05,,7.36e-05,,phosphate,58BAC,mol/L;IS=0.05,no,rxn_41
1041,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1042,Keq_1042,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.189,,9.27e-05,,phosphate,58BAC,mol/L;IS=0.189,no,rxn_41
1042,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1043,Keq_1043,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.376,,9.97e-05,,phosphate,58BAC,mol/L;IS=0.376,no,rxn_41
1043,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1044,Keq_1044,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.259,,9.25e-05,NaCl (0.167mol/L),phosphate,58BAC,mol/L;IS=0.259,no,rxn_41
1044,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1045,Keq_1045,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.423,,0.0001047,NaCl (0.333mol/L),phosphate,58BAC,mol/L;IS=0.423,no,rxn_41
1045,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1046,Keq_1046,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.749,,0.0001184,NaCl (0.667mol/L),phosphate,58BAC,mol/L;IS=0.749,no,rxn_41
1046,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1047,Keq_1047,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",288.15,7.0,0.1,,6.46e-05,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1047,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1048,Keq_1048,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,7.0,0.1,,8e-05,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1048,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1049,Keq_1049,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",298.15,7.0,0.1,,9.77e-05,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1049,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1050,Keq_1050,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",303.15,7.0,0.1,,0.0001202,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1050,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1051,Keq_1051,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",308.15,7.0,0.1,,0.0001445,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1051,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1052,Keq_1052,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",288.15,8.0,0.1,,0.000642,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1052,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1053,Keq_1053,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,8.0,0.1,,0.000795,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1053,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1054,Keq_1054,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",298.15,8.0,0.1,,0.000966,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1054,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1055,Keq_1055,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",303.15,8.0,0.1,,0.001175,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1055,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1056,Keq_1056,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",308.15,8.0,0.1,,0.001413,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1056,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1057,Keq_1057,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",288.15,9.0,0.1,,0.00635,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1057,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1058,Keq_1058,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",293.15,9.0,0.1,,0.00794,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1058,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1059,Keq_1059,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",298.15,9.0,0.1,,0.00972,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1059,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1060,Keq_1060,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",303.15,9.0,0.1,,0.012,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1060,alcohol dehydrogenase,1.1.1.1,spectrophotometry,A,ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),CHB_15846 + CHB_16236 = CHB_15343 + CHB_16908,1061,Keq_1061,"{'CHB_15343': 1, 'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16236': -1}",308.15,9.0,0.1,,0.01454,,phosphate,58BAC,mol/L;IS=0.1,no,rxn_41
1061,ribose-5-phosphate isomerase,5.3.1.6,spectrophotometry,C,D-ribose 5-phosphate(aq) = D-ribulose 5-phosphate(aq),CHB_52742 = CHB_17363,1062,Keq_1062,"{'CHB_52742': -1, 'CHB_17363': 1}",310.15,7.5,,,0.28,,Tris,58BRU/NOL,,no,rxn_110
1062,ribose-5-phosphate isomerase,5.3.1.6,spectrophotometry,C,D-ribose 5-phosphate(aq) = D-ribulose 5-phosphate(aq),CHB_52742 = CHB_17363,1063,Keq_1063,"{'CHB_52742': -1, 'CHB_17363': 1}",273.15,7.5,,,0.31,,Tris,58BRU/NOL,,no,rxn_110
1063,L-ribulose-phosphate 4-epimerase,5.1.3.4,enzymatic assay,B,L-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),CHB_17666 = CHB_16332,1064,Keq_1064,"{'CHB_16332': 1, 'CHB_17666': -1}",310.15,7.0,,,1.2,,Tris (0.042 mol dm-3),58BUR/HOR,mol/L;Tris=0.042,no,rxn_148
1064,",-trehalose-phosphate synthase (UDP-forming)",2.4.1.15,enzymatic assay and spectrophotometry,C,UDPglucose(aq) + D-glucose 6-phosphate(aq) = UDP(aq) + trehalose 6-phosphate(aq),CHB_18066 + CHB_4170 = CHB_17659 + CHB_18283,1065,Keq_1065,"{'CHB_4170': -1, 'CHB_18066': -1, 'CHB_18283': 1, 'CHB_17659': 1}",310.15,6.1,,,40.0,,17.857142857142858,58CAB/LEL,mol/L;EDTA=0.001;(Mg)1(SO4)1=0.025;UDPglucose=0.00444;D-glucose 6-phosphate=0.008;UDP=0;trehalose 6-phosphate=0,no,rxn_183
1065,adenylosuccinate synthase,6.3.4.4,spectrophotometry,C,GTP(aq) + IMP(aq) + L-aspartate(aq) = GDP(aq) + orthophosphate(aq) + adenylosuccinate(aq),CHB_15996 + CHB_17202 + CHB_29991 = CHB_15919 + CHB_17552 + CHB_26078,1066,Keq_1066,"{'CHB_17202': -1, 'CHB_26078': 1, 'CHB_29991': -1, 'CHB_15996': -1, 'CHB_15919': 1, 'CHB_17552': 1}",310.15,8.0,,,2.9,,glycine (0.071 mol dm-3),58FRO,mol/L;glycine=0.071;(Mg)1(SO4)1=0.018;GTP=0.0034;IMP=0.00007;L-aspartate=0.00112;adenylosuccinate=0.00066;GDP=0.00097;orthophosphate=0.00122,no,rxn_184
1066,ribitol dehydrogenase,1.1.1.56,spectrophotometry,B,ribitol(aq) + NAD(aq) = D-ribulose(aq) + NADH(aq),CHB_15846 + CHB_15963 = CHB_16908 + CHB_28552,1067,Keq_1067,"{'CHB_16908': 1, 'CHB_28552': 1, 'CHB_15963': -1, 'CHB_15846': -1}",310.15,7.4,,,0.00277148,,Tris (0.1 mol dm-3) + HCl,58FRO2,mol/L;Tris=0.43,no,rxn_185
1067,ribitol dehydrogenase,1.1.1.56,spectrophotometry,B,ribitol(aq) + NAD(aq) = D-ribulose(aq) + NADH(aq),CHB_15846 + CHB_15963 = CHB_16908 + CHB_28552,1068,Keq_1068,"{'CHB_16908': 1, 'CHB_28552': 1, 'CHB_15963': -1, 'CHB_15846': -1}",310.15,8.0,,,0.0085851,,Tris (0.1 mol dm-3) + HCl,58FRO2,mol/L;Tris=0.43,no,rxn_185
1068,ribitol dehydrogenase,1.1.1.56,spectrophotometry,B,ribitol(aq) + NAD(aq) = D-ribulose(aq) + NADH(aq),CHB_15846 + CHB_15963 = CHB_16908 + CHB_28552,1069,Keq_1069,"{'CHB_16908': 1, 'CHB_28552': 1, 'CHB_15963': -1, 'CHB_15846': -1}",310.15,8.5,,,0.0311419,,Tris (0.1 mol dm-3) + HCl,58FRO2,mol/L;Tris=0.43,no,rxn_185
1069,L-arabinose isomerase,5.3.1.4,polarimetry,C,L-arabinose(aq) = L-ribulose(aq),CHB_17535 = MAN_10208,1070,Keq_1070,"{'CHB_17535': -1, 'MAN_10208': 1}",298.15,7.0,,,0.11,,triethanolamine (0.10 mol dm-3),58HEA/HOR,mol/L;Tris=0.1,no,rxn_186
1070,L-arabinose isomerase,5.3.1.4,polarimetry,C,L-arabinose(aq) = L-ribulose(aq),CHB_17535 = MAN_10208,1071,Keq_1071,"{'CHB_17535': -1, 'MAN_10208': 1}",311.15,7.0,,,0.16,,triethanolamine (0.10 mol dm-3),58HEA/HOR,mol/L;Tris=0.1,no,rxn_186
1071,L-arabinose isomerase,5.3.1.4,polarimetry,C,L-arabinose(aq) = L-ribulose(aq),CHB_17535 = MAN_10208,1072,Keq_1072,"{'CHB_17535': -1, 'MAN_10208': 1}",326.15,7.0,,,0.19,,triethanolamine (0.10 mol dm-3),58HEA/HOR,mol/L;Tris=0.1,no,rxn_186
1072,estradiol 17_-dehydrogenase,1.1.1.62,spectrophotometry,C,estradiol-17(aq) + NAD(aq) = estrone(aq) + NADH(aq),CHB_15846 + CHB_16469 = CHB_16908 + CHB_17263,1073,Keq_1073,"{'CHB_16469': -1, 'CHB_17263': 1, 'CHB_16908': 1, 'CHB_15846': -1}",298.15,7.0,,,0.18,,"phosphate, Tris, and carbonate/bicarbonate",58LAN/ENG,mol/L;potassium phosphate buffer=0.3,no,rxn_187
1073,estradiol 17_-dehydrogenase,1.1.1.62,spectrophotometry,C,estradiol-17(aq) + NAD(aq) = estrone(aq) + NADH(aq),CHB_15846 + CHB_16469 = CHB_16908 + CHB_17263,1074,Keq_1074,"{'CHB_16469': -1, 'CHB_17263': 1, 'CHB_16908': 1, 'CHB_15846': -1}",298.15,8.0,,,1.8,,"phosphate, Tris, and carbonate/bicarbonate",58LAN/ENG,mol/L;Tris buffer=0.3,no,rxn_187
1074,estradiol 17_-dehydrogenase,1.1.1.62,spectrophotometry,C,estradiol-17(aq) + NAD(aq) = estrone(aq) + NADH(aq),CHB_15846 + CHB_16469 = CHB_16908 + CHB_17263,1075,Keq_1075,"{'CHB_16469': -1, 'CHB_17263': 1, 'CHB_16908': 1, 'CHB_15846': -1}",298.15,9.0,,,18.0,,"phosphate, Tris, and carbonate/bicarbonate",58LAN/ENG,mol/L;sodium bicarbonate buffer=0.3,no,rxn_187
1075,estradiol 17_-dehydrogenase,1.1.1.62,spectrophotometry,C,estradiol-17(aq) + NAD(aq) = estrone(aq) + NADH(aq),CHB_15846 + CHB_16469 = CHB_16908 + CHB_17263,1076,Keq_1076,"{'CHB_16469': -1, 'CHB_17263': 1, 'CHB_16908': 1, 'CHB_15846': -1}",298.15,10.0,,,180.0,,"phosphate, Tris, and carbonate/bicarbonate",58LAN/ENG,mol/L;sodium bicarbonate buffer=0.3,no,rxn_187
1076,cytidylate kinase,2.7.4.14,spectrophotometry,B,ATP(aq) + dCMP(aq) = ADP(aq) + dCDP(aq),CHB_15422 + CHB_15918 = CHB_16761 + CHB_28846,1077,Keq_1077,"{'CHB_15918': -1, 'CHB_28846': 1, 'CHB_16761': 1, 'CHB_15422': -1}",303.15,7.5,,,1.49,,Tris (0.1 mol dm-3) + HCl,58MAL/OCH,mol/L;Tris=0.1;(Mg)1(Cl)2=0.02;ATP=0.00546;dCMP=0.00201;ADP=0.00424;dCDP=0.0038,no,rxn_188
1077,glucose-6-phosphate isomerase,5.3.1.9,spectrophotometry,C,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),CHB_4170 = CHB_61553,1078,Keq_1078,"{'CHB_4170': -1, 'CHB_61553': 1}",310.15,7.5,,,0.67,,barbital,58NOL/BRU,,no,rxn_28
1078,mannose-6-phosphate isomerase,5.3.1.8,spectrophotometry,C,D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),CHB_43896 = CHB_61553,1079,Keq_1079,"{'CHB_43896': -1, 'CHB_61553': 1}",310.15,5.9,,,1.8,,acetate,58NOL/BRU,,no,rxn_83
1079,sulfate adenylyltransferase,2.7.7.4,,C,ATP(aq) + sulfate(aq) = adenosine 5'-phosphosulfate(aq) + pyrophosphate(aq),CHB_15422 + CHB_16189 = CHB_17709 + CHB_18361,1080,Keq_1080,"{'CHB_16189': -1, 'CHB_17709': 1, 'CHB_18361': 1, 'CHB_15422': -1}",310.15,8.0,,,1.1e-08,,Tris (0.1 mol dm-3) + HCl,58ROB/LIP,mol/L;Tris-HCl=0.1;ATP=0.01;(K)2(SO4)1=0.02;(Mg)1(Cl)2=0.005;adenosine 5'-phosphosulfate=0.000025;pyrophosphate=0.000025;sulfate=0,no,rxn_189
1080,ribose-5-phosphate isomerase,5.3.1.6,enzymatic assay and spectrophotometry,B,D-ribose 5-phosphate(aq) = D-ribulose 5-phosphate(aq),CHB_52742 = CHB_17363,1081,Keq_1081,"{'CHB_52742': -1, 'CHB_17363': 1}",310.15,7.5,,,0.316836,,glycylglycine (0.056 mol dm-3),58TAB/SRE,mol/L;glycylglycine buffer=0.056;D-ribose 5-phosphate=0.0168755;D-ribulose 5-phosphate=0.00534676,no,rxn_110
1081,ribulose-phosphate 3-epimerase,5.1.3.1,enzymatic assay and spectrophotometry,B,D-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),CHB_17363 = CHB_16332,1082,Keq_1082,"{'CHB_16332': 1, 'CHB_17363': -1}",310.15,7.5,,,3.04487,,glycylglycine (0.056 mol dm-3),58TAB/SRE,mol/L;glycylglycine buffer=0.056;D-xylulose 5-phosphate=0.0167283;D-ribulose 5-phosphate=0.00549393,no,rxn_154
1082,UTP-glucose-1-phosphate uridylyltransferase,2.7.7.9,chromatography and spectrophotometry,B,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),CHB_15713 + CHB_16077 = CHB_18066 + CHB_18361,1083,Keq_1083,"{'CHB_18361': 1, 'CHB_15713': -1, 'CHB_18066': 1, 'CHB_16077': -1}",303.15,7.9,,,0.263158,MgCl2 (0.01 mol/L),Tris (0.2 mol dm-3) + HCl,58TUR/TUR,mol/L;Tris-HCl=0.2;(Na)1=0.0368;pyrophosphate=0.0092;D-glucose 1-phosphate=0.0268;UDPglucose=0.002;(Mg)1(Cl)2=0.01;UTP=0,no,rxn_141
1083,UTP-glucose-1-phosphate uridylyltransferase,2.7.7.9,chromatography and spectrophotometry,B,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),CHB_15713 + CHB_16077 = CHB_18066 + CHB_18361,1084,Keq_1084,"{'CHB_18361': 1, 'CHB_15713': -1, 'CHB_18066': 1, 'CHB_16077': -1}",303.15,7.9,,,0.138889,MgCl2 (0.005 mol/L),Tris (0.2 mol dm-3) + HCl,58TUR/TUR,mol/L;Tris-HCl=0.2;(Na)1=0.0368;pyrophosphate=0.0092;D-glucose 1-phosphate=0.0268;UDPglucose=0.002;(Mg)1(Cl)2=0.005;UTP=0,no,rxn_141
1084,UTP-glucose-1-phosphate uridylyltransferase,2.7.7.9,chromatography and spectrophotometry,B,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),CHB_15713 + CHB_16077 = CHB_18066 + CHB_18361,1085,Keq_1085,"{'CHB_18361': 1, 'CHB_15713': -1, 'CHB_18066': 1, 'CHB_16077': -1}",303.15,7.9,,,0.119048,MgCl2 (0.0025 mol/L),Tris (0.2 mol dm-3) + HCl,58TUR/TUR,mol/L;Tris-HCl=0.2;(Na)1=0.0368;pyrophosphate=0.0092;D-glucose 1-phosphate=0.0268;UDPglucose=0.002;(Mg)1(Cl)2=0.0025;UTP=0,no,rxn_141
1085,UTP-glucose-1-phosphate uridylyltransferase,2.7.7.9,chromatography and spectrophotometry,B,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),CHB_15713 + CHB_16077 = CHB_18066 + CHB_18361,1086,Keq_1086,"{'CHB_18361': 1, 'CHB_15713': -1, 'CHB_18066': 1, 'CHB_16077': -1}",303.15,7.0,,,0.285714,MgCl2 (0.0025 mol/L),Tris (0.2 mol dm-3) + HCl,58TUR/TUR,mol/L;Tris-HCl=0.2;(Na)1=0.0368;pyrophosphate=0.0092;D-glucose 1-phosphate=0.0268;UDPglucose=0.002;(Mg)1(Cl)2=0.0025;UTP=0,no,rxn_141
1086,sulfate adenylyltransferase and inorganic pyrophosphatase,2.7.7.4&3.6.1.1,chemical analysis and radioactivity,C,ATP(aq) + sulfate(aq) + H2O(l) = 2 orthophosphate(aq) + adenosine 5'-phosphosulfate(aq),CHB_15377 + CHB_15422 + CHB_16189 = CHB_17709 + 2 CHB_26078,1087,Keq_1087,"{'CHB_16189': -1, 'CHB_17709': 1, 'CHB_26078': 2.0, 'CHB_15377': -1, 'CHB_15422': -1}",303.15,7.5,,,6e-07,,Tris (0.02 mol dm-3) + HCl,58WIL/BAN,mol/L;ATP=0.01;(Na)2=0.04;sulfate=0.02;(Mg)1(Cl)2=0.002;Tris-HCl=0.1;EDTA=0.0006;orthophosphate=0;adenosine 5'-phosphosulfate=0,no,rxn_190
1087,sulfate adenylyltransferase and inorganic pyrophosphatase,2.7.7.4&3.6.1.1,chemical analysis and radioactivity,C,ATP(aq) + sulfate(aq) + H2O(l) = adenylyl sulfate(aq) + 2 orthophosphate(aq),,1088,Keq_1088,,303.15,7.5,,,6e-07,,Tris (0.02 mol dm-3) + HCl,58WIL/BAN,,yes,rxn_122
1088,sulfate adenylyltransferase,2.7.7.4,chemical analysis and radioactivity,C,ATP(aq) + sulfate(aq) = adenosine 5'-phosphosulfate(aq) + pyrophosphate(aq),CHB_15422 + CHB_16189 = CHB_17709 + CHB_18361,1089,Keq_1089,"{'CHB_16189': -1, 'CHB_17709': 1, 'CHB_18361': 1, 'CHB_15422': -1}",303.15,7.5,,,4e-08,,Tris (0.02 mol dm-3) + HCl,58WIL/BAN,mol/L;ATP=0.01;(Na)2=0.04;sulfate=0.02;(Mg)1(Cl)2=0.002;Tris-HCl=0.1;EDTA=0.0006;adenosine 5'-phosphosulfate=0;pyrophosphate=0,no,rxn_189
1089,L-ribulose-phosphate 4-epimerase,5.1.3.4,enzymatic assay,B,L-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),CHB_17666 = CHB_16332,1090,Keq_1090,"{'CHB_16332': 1, 'CHB_17666': -1}",297.15,8.4,,,1.86,,glycylglycine (0.1 mol dm-3),58WOL/SIM,mol/L;glycylglycine buffer=0.2;D-xylulose 5-phosphate=0.13;L-ribulose 5-phosphate=0.07,no,rxn_148
1090,glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8,spectrophotometry,B,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,1091,Keq_1091,"{'CHB_16908': 1, 'CHB_15978': -1, 'CHB_15846': -1, 'CHB_16108': 1}",297.65,6.95,,,5.13361e-05,,phosphate (0.2 mol dm-3),58YOU/PAC,mol/L;phosphate buffer=0.2,?,rxn_54
1091,glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8,spectrophotometry,B,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,1092,Keq_1092,"{'CHB_16908': 1, 'CHB_15978': -1, 'CHB_15846': -1, 'CHB_16108': 1}",297.65,6.85,,,3.55389e-05,,phosphate (0.2 mol dm-3),58YOU/PAC,mol/L;phosphate buffer=0.2,?,rxn_54
1092,glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8,spectrophotometry,B,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,1093,Keq_1093,"{'CHB_16908': 1, 'CHB_15978': -1, 'CHB_15846': -1, 'CHB_16108': 1}",297.65,6.7,,,2.96202e-05,,phosphate (0.2 mol dm-3),58YOU/PAC,mol/L;phosphate buffer=0.2,?,rxn_54
1093,glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8,spectrophotometry,B,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,1094,Keq_1094,"{'CHB_16908': 1, 'CHB_15978': -1, 'CHB_15846': -1, 'CHB_16108': 1}",297.65,7.24,,,0.000112783,,phosphate (0.2 mol dm-3),58YOU/PAC,mol/L;phosphate buffer=0.2,?,rxn_54
1094,glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8,spectrophotometry,B,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,1095,Keq_1095,"{'CHB_16908': 1, 'CHB_15978': -1, 'CHB_15846': -1, 'CHB_16108': 1}",309.7,7.0,,,3.07e-05,,phosphate (0.2 mol dm-3),58YOU/PAC,mol/L;phosphate buffer=0.2,?,rxn_54
1095,glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8,spectrophotometry,B,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,1096,Keq_1096,"{'CHB_16908': 1, 'CHB_15978': -1, 'CHB_15846': -1, 'CHB_16108': 1}",301.06,7.0,,,5.34e-05,,phosphate (0.2 mol dm-3),58YOU/PAC,mol/L;phosphate buffer=0.2,?,rxn_54
1096,glycerol-3-phosphate dehydrogenase (NAD+),1.1.1.8,spectrophotometry,B,sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),CHB_15846 + CHB_15978 = CHB_16108 + CHB_16908,1097,Keq_1097,"{'CHB_16908': 1, 'CHB_15978': -1, 'CHB_15846': -1, 'CHB_16108': 1}",298.28,7.0,,,5.59e-05,,phosphate (0.2 mol dm-3),58YOU/PAC,mol/L;phosphate buffer=0.2,?,rxn_54
